[2021-Nov-21 19:15:55] Data: zip=[1102], area=[120], room=[5], lon=[4.956167], lat=[52.317822]
[2021-Nov-21 19:16:58] Data: zip=[1102], area=[120], room=[5], lon=[4.956167], lat=[52.317822]
[2021-Nov-21 19:18:23] Data: zip=[1102], area=[120], room=[5], lon=[4.956167], lat=[52.317822]
[2021-Nov-21 19:21:15] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 19:22:37] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 19:41:49] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 19:43:10] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 19:46:12] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:01:36] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:02:54] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:04:33] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:05:09] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:05:36] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:05:47] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:17:05] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:20:28] Data: Zip=[1102], Area=[120], Room=[5], Lon=[4.956167], Lat=[52.317822]
[2021-Nov-21 20:28:13] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:28:52] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:29:50] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:29:57] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:30:37] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:31:16] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:32:29] Data: Zip=1102, Area=120, Room=6, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:56:48] Data: Zip=1102, Area=120, Room=4, Lon=4.956167, Lat=52.317822
[2021-Nov-21 20:57:07] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
[2021-Nov-21 21:02:30] Data: Zip=1102, Area=120, Room=5, Lon=4.956167, Lat=52.317822
